id,parent_id,scientific_name,vernacular_name,rank
5425,1541533,Necrosyrtes,,genus
5426,5425,Necrosyrtes monachus,Hooded Vulture,species
8074,8073,Artamus monachus,Ivory-backed Woodswallow,species
26036,355675,Reptilia,Reptiles,class
26172,26036,Squamata,Snakes and Lizards,order
18874,3,Psittaciformes,Parrots,order
18875,18874,Psittacidae,New World and African Parrots,family
30403,85553,Elapidae,Elapid Snakes,family
19348,18875,Myiopsitta,Monk Parakeets,genus
19349,19348,Myiopsitta monachus,Monk Parakeet,species
32805,1567778,Chamaeleonidae,Chameleons,family
32806,32805,Chamaeleo,Typical Chameleons,genus
16793,16768,Tyrannus savana,Fork-tailed Flycatcher,species
39532,26036,Testudines,Turtles and Tortoises,order
33177,371057,Gekkonidae,Typical Geckos,family
39657,372234,Cheloniidae,Typical Sea Turtles,family
39658,1366913,Chelonia,Green Sea Turtles,genus
39659,39658,Chelonia mydas,Green Sea Turtle,species
34591,33177,Gekko,Calling Geckos,genus
39664,797541,Caretta,Loggerhead sea turtles,genus
34610,34591,Gekko monarchus,Double-spotted Gecko,species
35099,492346,Suta,,genus
32832,32806,Chamaeleo monachus,Socotran Chameleon,species
39665,39664,Caretta caretta,Loggerhead Sea Turtle,species
39671,797541,Eretmochelys,Hawksbill Sea Turtles,genus
39672,39671,Eretmochelys imbricata,Hawksbill Sea Turtle,species
39669,797541,Lepidochelys,Ridley Sea Turtles,genus
39670,39669,Lepidochelys olivacea,Olive Ridley Sea Turtle,species
39675,372234,Dermochelyidae,Leatherback Sea Turtles,family
39676,39675,Dermochelys,Leatherback Sea Turtles,genus
39677,39676,Dermochelys coriacea,Leatherback Sea Turtle,species
41402,41401,Mesoplodon,Mesoplodont Beaked Whales,genus
