atlas_id,region,region_name,site_code,location,lat_dmm,lon_dmm,lat,lon,species_codes,species,count_class,tidal_use,tidal_use_full,description
33,2,Willapa Bay,02.03,SW of Long Island,46 25.64,123 58.87,46.42733,-123.98117,PV,Harbor Seal,<100,LOW,Low tide,Areas along channels southwest of Long Island during pupping season.
34,2,Willapa Bay,02.04,NE of Long Island South,46 29.24,123 56.83,46.48733,-123.94717,PV,Harbor Seal,100-500,LOW,Low tide,Areas along south channel. Nursery area.
35,2,Willapa Bay,02.05,NE of Long Island Middle,46 29.76,123 57.38,46.496,-123.95633,PV,Harbor Seal,<100,LOW,Low tide,Areas along the middle channel.
36,2,Willapa Bay,02.06,NE of Long Island North,46 30.79,123 57.11,46.51317,-123.95183,PV,Harbor Seal,<100,LOW,Low tide,Areas along the north channels during pupping season.
37,2,Willapa Bay,02.06,NE of Long Island North,46 31.32,123 56.89,46.522,-123.94817,PV,Harbor Seal,<100,LOW,Low tide,Along the northern most channel with house on pilings during pupping season.
38,2,Willapa Bay,02.07,Riddle Spit Area,46 34.94,124 00.60,46.58233,-124.01,PV,Harbor Seal,<100,LOW,Low tide,Intertidal areas along edge of shoal.
39,2,Willapa Bay,02.08,S of Grassy Island,46 37.06,124 01.38,46.61767,-124.023,PV,Harbor Seal,<100,LOW,Low tide,On shoals south of Grassy Island during pupping season.
40,2,Willapa Bay,02.09,Ellen Sands,46 38.72,123 58.10,46.64533,-123.96833,PV,Harbor Seal,<100,LOW,Low tide,Intertidal sand flats along Ellen Sands. Nursery area.
41,2,Willapa Bay,02.09,Ellen Sands,46 39.11,123 59.23,46.65183,-123.98717,PV,Harbor Seal,<100,LOW,Low tide,Intertidal sand flats along Ellen Sands. Nursery area.
42,2,Willapa Bay,02.09,Ellen Sands,46 39.74,123 59.27,46.66233,-123.98783,PV,Harbor Seal,<100,LOW,Low tide,Intertidal sand flats along Ellen Sands. Nursery area.
43,2,Willapa Bay,02.09,Ellen Sands,46 40.58,123 59.05,46.67633,-123.98417,PV,Harbor Seal,<100,LOW,Low tide,Intertidal sand flats along Ellen Sands. Nursery area.
44,2,Willapa Bay,02.10,Pine Island Channel,46 40.98,123 57.64,46.683,-123.96067,PV,Harbor Seal,100-500,LOW,Low tide,Shoals along Pine Island channel.
45,2,Willapa Bay,02.10,Pine Island Channel,46 40.74,123 57.67,46.679,-123.96117,PV,Harbor Seal,100-500,LOW,Low tide,Shoals along Pine Island channel.
46,2,Willapa Bay,02.10,Pine Island Channel,46 40.15,123 56.95,46.66917,-123.94917,PV,Harbor Seal,100-500,LOW,Low tide,Shoals along Pine Island channel during pupping season. Nursery area.
47,2,Willapa Bay,02.11,E of Toke Point,46 42.63,123 55.90,46.7105,-123.93167,PV,Harbor Seal,<100,LOW,Low tide,Shoals along channels east of Toke Point.
48,2,Willapa Bay,02.12,Entrance Shoals,46 42.71,124 03.04,46.71183,-124.05067,PV,Harbor Seal,100-500,LOW,Low tide,Along north side of main shoal in entrance to Willapa Bay.
49,2,Willapa Bay,02.12,Entrance Shoals,46 41.71,124 02.00,46.69517,-124.03333,PV,Harbor Seal,100-500,LOW,Low tide,Along south side of main shoal in entrance to Willapa Bay.
50,2,Willapa Bay,02.12,Entrance Shoals,46 40.42,124 00.74,46.67367,-124.01233,PV,Harbor Seal,100-500,LOW,Low tide,On southeast shoal in entrance to Willapa Bay.
51,2,Willapa Bay,02.12,Entrance Shoals,46 41.63,124 05.73,46.69383,-124.0955,PV,Harbor Seal,<100,LOW,Low tide,On southwest shoals in entrance to Willapa Bay during pupping season.
52,2,Willapa Bay,02.12,Entrance Shoals,46 40.65,124 06.03,46.6775,-124.1005,PV,Harbor Seal,<100,LOW,Low tide,On south shoals in entrance to Willapa Bay during the pupping season.
